style_name,style_group,og_min,og_max,fg_min,fg_max,ibu_min,ibu_max,srm_min,srm_max,abv_min,abv_max
American IPA,IPA,1.056,1.07,1.008,1.014,40,70,6.0,14,5.5,7.5
Double IPA,IPA,1.065,1.085,1.008,1.018,60,100,6.0,14,7.5,10.0
New England IPA,IPA,1.06,1.085,1.01,1.02,25,60,3.0,7,6.0,9.0
American Pale Ale,IPA,1.045,1.06,1.01,1.015,30,50,5.0,10,4.5,6.2
German Pilsner,LAGER,1.044,1.05,1.008,1.013,22,40,2.0,5,4.4,5.2
Czech Premium Pale Lager,LAGER,1.044,1.06,1.013,1.017,30,45,3.5,6,4.2,5.8
Munich Helles,LAGER,1.044,1.048,1.006,1.012,16,22,3.0,5,4.7,5.4
MÃ¤rzen,LAGER,1.054,1.06,1.01,1.014,18,24,8.0,17,5.6,6.3
American Porter,PORTER_STOUT,1.05,1.07,1.012,1.018,25,50,22.0,40,4.8,6.5
Irish Stout,PORTER_STOUT,1.036,1.044,1.007,1.011,25,45,25.0,40,4.0,4.5
Imperial Stout,PORTER_STOUT,1.075,1.115,1.018,1.03,50,90,30.0,40,8.0,12.0
Belgian Tripel,BELGIAN,1.075,1.085,1.008,1.014,20,40,4.5,7,7.5,9.5
Belgian Dubbel,BELGIAN,1.062,1.075,1.008,1.018,15,25,10.0,17,6.0,7.6
Saison,BELGIAN,1.048,1.065,1.002,1.008,20,35,5.0,14,5.0,7.0
Belgian Dark Strong Ale,BELGIAN,1.075,1.11,1.01,1.024,20,35,12.0,22,8.0,12.0
English Barleywine,STRONG_ALE,1.08,1.12,1.018,1.03,35,70,8.0,22,8.0,12.0
American Barleywine,STRONG_ALE,1.08,1.12,1.016,1.03,50,100,9.0,18,8.0,12.0
Wee Heavy,STRONG_ALE,1.07,1.13,1.018,1.04,17,35,14.0,25,6.5,10.0
American Amber Ale,AMBER_ALE,1.045,1.06,1.01,1.015,25,40,10.0,17,4.5,6.2
Irish Red Ale,AMBER_ALE,1.036,1.046,1.01,1.014,18,28,9.0,14,3.8,5.0
Weissbier,WHEAT_BEER,1.044,1.053,1.008,1.014,8,15,2.0,6,4.3,5.6
Witbier,WHEAT_BEER,1.044,1.052,1.008,1.012,8,20,2.0,4,4.5,5.5
American Wheat Beer,WHEAT_BEER,1.04,1.055,1.008,1.013,15,30,3.0,6,4.0,5.5
American Brown Ale,BROWN_ALE,1.045,1.06,1.01,1.016,20,30,18.0,35,4.3,6.2
English Brown Ale,BROWN_ALE,1.04,1.052,1.008,1.013,20,30,12.0,22,4.2,5.9
Berliner Weisse,SOUR,1.028,1.032,1.003,1.006,3,8,2.0,3,2.8,3.8
Gose,SOUR,1.036,1.056,1.006,1.01,5,12,3.0,4,4.2,4.8
Flanders Red Ale,SOUR,1.048,1.057,1.002,1.012,10,25,10.0,17,4.6,6.5
Blonde Ale,BLONDE_PALE,1.038,1.054,1.008,1.013,15,28,3.0,6,3.8,5.5
Cream Ale,BLONDE_PALE,1.042,1.055,1.006,1.012,8,20,2.0,5,4.2,5.6
